"","County","X3.10.20","X3.17.20","X3.24.20","X3.31.20","X4.7.20","X4.14.20","X4.21.20","X4.28.20","X5.5.20","X5.12.20","X5.19.20","X5.26.20","X6.2.20","X6.9.20","X6.16.20","X6.23.20","X6.30.20","X7.7.20","X7.14.20","X7.21.20","X7.28.20","X8.4.20","X8.11.20","X8.18.20","X8.25.20","X9.1.20","X9.8.20","X9.15.20","X9.22.20","X9.29.20","X10.6.20","X10.13.20","X10.20.20","X10.27.20","X11.3.20","X11.10.20","X11.17.20","X11.24.20","X12.1.20","X12.8.20","X12.15.20","X12.22.20","X12.29.20","X1.5.21","X1.12.21","X1.19.21","X1.26.21","X2.2.21","X2.9.21","X2.16.21","X2.23.21","X3.2.21","X3.9.21","X3.16.21","X3.23.21","X3.30.21","X4.6.21","X4.13.21","X4.20.21","X4.27.21","X5.4.21","X5.11.21","X5.18.21","X5.25.21","X6.1.21","X6.8.21","X6.15.21","X6.22.21","X6.29.21","X7.6.21","X7.13.21","X7.20.21","X7.27.21","X8.3.21","X8.10.21","X8.17.21","X8.24.21","X8.31.21","X9.7.21","X9.14.21","X9.21.21","X9.28.21","X10.5.21","X10.12.21","X10.19.21","X10.26.21","X11.2.21","X11.9.21","X11.16.21","X11.23.21","X11.30.21"
"1","Alcona County","0","0","0","0","0","0","0","0","0.199954590176341","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.235072872590503","0","0","0","0","0","0","0","0","0","0.209964412811388","0","0","0","0.207770594636113","0.836763279818985","0.603928690914305","0.638969764837626","0","0.643948472540583","0.213363270892139","0.425595932871631","0.629419383904939","0","0.21156458590248","0","0","0","0","0","0.186033824331697","0","0","0.167249010016306","0.154899160716523","0","0.30548604427334","0","0.155888767720829","0.479032258064516","0","0","0","0.142015855039638","0","0","0","0","0","0","0","0","0.413104939298187","0","0.142237457973499","0","0.146753595913429","0.144737030924876","0","0","0.145037353255069","0.147203632887189","0.456212037548316","0","0.431504492448863","0","0.427146814404432"
"2","Alger County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.217926524331602","0","0","0","0.202816901408451","0","0","0","0","0","0","0","0.213363270892139","0","0","0","0","0","0.412670799790259","0","0","0","0","0","0","0","0.154899160716523","0","0","0","0","0","0","0.152755232806493","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.148322773015281","0","0.147203632887189","0","0","0","0","0"
"3","Allegan County","0","0","0","0","0","0","0","0.197157739052151","0.199954590176341","0","0.19798548684068","0.602815346398013","0","0","0","0","0.210046850598647","0","0","0","0","0","0","0","0","0","0","0.23027027027027","0","0","0","0","0","0","0","0.424934353236671","1.62253521126761","1.84675849678096","1.66216475708891","1.46433573968322","1.00654781819051","2.12989921612542","2.10677161312401","1.93184541762175","2.77372252159781","1.06398983217908","1.46864522911152","1.22442682946843","1.26938751541488","0.819324815417756","0.412670799790259","0","0","0","0","0","0","0.668996040065222","0.61959664286609","0","0.916458132820019","0.740573152337858","0.467666303162486","0.479032258064516","1.01237785016287","0.305510465612986","0.794291338582677","0.284031710079275","0.273230769230769","0","0.138800489596083","0","0","0","0.13354114713217","0","0.137701646432729","0.142607073678169","0.284474915946997","0.292025518341308","0","0.723685154624381","0.738540312093628","0.148322773015281","0.580149413020277","0.736018164435946","0.912424075096632","0.874788273615635","0.287669661632575","1.40736342042755","0.996675900277008"
"4","Alpena County","0","0","0","0","0","0","0.207919065061922","0.591473217156453","0.599863770529024","0.204806408544726","0.19798548684068","0","0","0","0.413809411208323","0","0","0","0.220051858254105","0.223766504517026","0","0","0","0.224855332047396","0","0","0","0","0","0","0","0","0","0","0","0.212467176618335","0.202816901408451","0","0.207770594636113","0.209190819954746","0.603928690914305","0.638969764837626","0.210677161312401","1.28789694508117","1.49354289624497","0.851191865743262","0.419612922603293","0.204071138244739","0.21156458590248","0","0.20633539989513","0.208566797869877","0","0","0","0","0.365627077184866","0.501747030048917","0.154899160716523","0.154263226934849","0.61097208854668","0.148114630467572","0.155888767720829","0","0","0.305510465612986","0","0","0.136615384615385","0","0.138800489596083","0","0","0.272607099143207","0","0","0","0","0","0.146012759170654","0.146753595913429","0.144737030924876","0","0","0","0.147203632887189","0.456212037548316","0","0.863008984897725","0.281472684085511","0"
"5","Antrim County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.212467176618335","0.405633802816901","0.410390777062434","0.207770594636113","0.209190819954746","0.201309563638102","0","0.210677161312401","0.429298981693722","0.426726541784279","0.638393899307447","0.209806461301646","0.204071138244739","0.21156458590248","0","0","0.208566797869877","0","0","0","0","0","0.334498020032611","0.154899160716523","0.617052907739397","0","0","0.155888767720829","0","0.144625407166124","0","0","0","0.136615384615385","0","0","0","0","0","0.13354114713217","0","0.275403292865458","0","0","0","0.146753595913429","0","0","0.148322773015281","0.290074706510139","0.147203632887189","0","0","0.287669661632575","0.281472684085511","0"
"6","Arenac County","0","0","0","0","0","0","0.207919065061922","0","0","0","0","0","0","0","0","0.198961038961039","0","0","0","0","0.235565259582727","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.424934353236671","0.202816901408451","1.02597694265609","1.03885297318057","1.25514491972848","0.402619127276203","0","0.210677161312401","0.214649490846861","0","0","0","0","0.21156458590248","0","0","0","0.206982708695292","0","0.186033824331697","0.176016016016016","0","0","0.154899160716523","0","0.15274302213667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.142607073678169","0.142237457973499","0","0","0","0","0.148322773015281","0.145037353255069","0","0.304141358365544","0.291596091205212","0.143834830816288","0.562945368171021","0.284764542936288"
"7","Baraga County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.450697674418605","0.23031588873173","0","0.217926524331602","0","0","0","0.202816901408451","0.205195388531217","3.1165589195417","0.627572459864239","0.805238254552406","0","0","0.214649490846861","0","0","0.209806461301646","0.204071138244739","0","0.204831203854439","0","0","0","0.197130229932052","0","0","0","0","0","0","0.15274302213667","0.296229260935143","0.155888767720829","0","0","0","0","0.142015855039638","0","0.138642297650131","0","0","0","0","0","0.139456662354463","0","0","0.142237457973499","0.292025518341308","0.146753595913429","0","0","0.148322773015281","0","0.147203632887189","0","0","0","0","0"
"8","Barry County","0","0","0","0","0","0.223972057111343","0","0","0","0","0","0.200938448799338","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.230121608980355","0.225348837209302","0","0.217725197177252","0","0.208138759172782","0","0.637401529855006","0.202816901408451","0.410390777062434","0.415541189272227","0.627572459864239","1.61047650910481","1.06494960806271","0.842708645249604","0.858597963387443","0","0.212797966435816","0.209806461301646","0.204071138244739","0","0.204831203854439","0.20633539989513","0.417133595739755","0.620948126085877","0.197130229932052","0.186033824331697","0.352032032032032","0.182813538592433","0","0.61959664286609","0.617052907739397","0.45822906641001","0","0.155888767720829","0.319354838709677","0","0.152755232806493","0","0.142015855039638","0","0","0","0.138109756097561","0","0","0","0.278913324708926","0.137701646432729","0.142607073678169","0","0","0.146753595913429","0.144737030924876","0.147708062418726","0.148322773015281","0.435112059765208","0.441610898661568","0.608282716731088","0.583192182410423","0.287669661632575","0.703681710213777","0.427146814404432"
"9","Bay County","0","0","0","0","0","0.447944114222685","0","0.591473217156453","0.799818360705366","0.409612817089453","1.18791292104408","0.602815346398013","1.04132901134522","0.427921692703184","0.413809411208323","0","0.210046850598647","0","0.220051858254105","0","0","0","0","0.899421328189584","1.17536436295252","0.233257957905723","0.442805898764448","0.690810810810811","0.460243217960711","0.901395348837209","0.23031588873173","0.435450394354504","0","1.45697131420947","0.839857651245552","1.27480305971001","1.41971830985916","1.84675849678096","2.07770594636113","6.06653377868764","4.63011996367634","4.89876819708847","2.73880309706121","2.79044338100919","5.12071850141134","2.7663735636656","4.61574214863622","1.63256910595791","1.90408127312232","1.22898722312663","0.619006199685389","1.66853438295902","0.413965417390585","0.394260459864105","0.744135297326787","1.0560960960961","0.548440615777299","0.501747030048917","0.309798321433045","1.07984258854394","0.61097208854668","1.33303167420814","1.40299890948746","0.319354838709677","0.144625407166124","0.763776164032465","0.317716535433071","0.142015855039638","0.136615384615385","0","0","0","0.134448890505638","0","0","0.278913324708926","0.413104939298187","0.427821221034507","0.284474915946997","0.146012759170654","0.146753595913429","0","0.443124187256177","0.889936638091688","0.580149413020277","1.03042543021033","0.608282716731088","1.16638436482085","1.72601796979545","0.985154394299287","1.13905817174515"
"10","Benzie County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.223766504517026","0","0","0","0","0.235072872590503","0","0","0","0","0","0","0","0","0","0","0.212467176618335","0","0.410390777062434","0.62331178390834","0.627572459864239","0.402619127276203","1.70391937290034","1.05338580656201","0.214649490846861","0.213363270892139","0","0.209806461301646","0.204071138244739","0.21156458590248","0","0","0","0.206982708695292","0","0","0","0","0","0","0","0.15274302213667","0.148114630467572","0","0","0.144625407166124","0.152755232806493","0","0","0","0","0","0","0","0","0","0.278913324708926","0","0","0","0","0","0","0","0","0","0.294407265774379","0","0","0.143834830816288","0.422209026128266","0.142382271468144"
